Ref#;Gebouw NL;Gebouw EN;Gebouw ID;Afkorting NL;Afkorting EN;Etage;Vastgoednr;Kamernr;Kamer ID;Ruimtenaam;Soort studieplek;Email adres;Breedtegraad;Lengtegraad;Type Studieplek;Totaal aantal studieplekken;Aantal tafels;Aantal stoelen per tafel;Verstelbare stoel;Vaste stoel;Overige zitplek;Waarvan te gebruiken als individuele studieplek;Beschikbaarheid voor zelfstudie;Mate van stilte;Reserveerbaar voor zelfstudie;Daglicht;Stroompunt;Ethernet;Vaste PC;Whiteboard;Smartboard;Presentatiescherm;Afstand tot coffeecorner/ automaat;Afstand tot printer;Afstand tot toilet;Toegewezen aan project/groep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00045;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;300;BG.Zuid.300;BG.Zuid.300;RESTAURANT;horecaplek;;;;C;130;23;6;0;138;0;52;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00046;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;310;BG.Zuid.310;BG.Zuid.310;@WORK;aanlandplek;;;;B;24;7;4;0;24;0;24;1;rumoerig;nee;nee;ja (<1 pp);nee;ja;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00047;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;400;BG.Zuid.400;BG.Zuid.400;RESTAURATANT;horecaplek;;;;C;38;19;2;0;38;0;21;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00048;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;200;BG+.Zuid.200;BG+.Zuid.200;STUDIERUIMTE;onderwijsruimte;;;;B;83;8;10;80;0;3;83;2;rumoerig;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00049;08 - Bouwkunde;08 - Architecture and the Built Environment;08 - Bouwkunde;BK;ARCH;begane grond;200;BG+.Zuid.100;BG+.Zuid.100;STUDIERUIMTE;onderwijsruimte;;;;B;36;3;12;0;36;0;36;2;rumoerig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00050;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;225;00.[250];00.[250];DOUWE EGBERTS;horecaplek;;;;C;2;0;0;0;0;2;0;1;rustig;nee;ja;nee;nee;nee;nee;nee;nee;0-25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00051;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;255;00.[255];00.[255];GROEPSRUIMTE - projectruimte noord 1;groepswerkplek;;;;B;6;3;2;0;6;0;3;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00052;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;260;00.[260];00.[260];GROEPSRUIMTE - projectruimte noord 2;groepswerkplek;;;;B;6;2;3;0;6;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00053;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;270;00.[270];00.[270];GROEPSRUIMTE - projectruimte noord 3;groepswerkplek;;;;B;8;2;4;0;8;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00054;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;1e verdieping;280;00.[280];00.[280];GROEPSRUIMTE - projectruimte noord 4;groepswerkplek;;;;B;8;2;4;0;8;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00055;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;2e verdieping;20;00.[020];00.[020];GANG;informeel zitje;;;;C;6;0;0;0;0;6;6;1;rumoerig;nee;nee;nee;nee;nee;nee;nee;nee;>25m;>25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00056;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00057;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;180;00.[180];00.[180];GANG;informeel zitje;;;;C;17;2;4;0;8;15;4;1;rumoerig;nee;nee;nee;nee;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00058;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;270;00.[270];00.[270];RESTAURANT EN BAR - bij raam;horecaplek;;;;C;14;2;7;14;0;0;8;1;rumoerig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00059;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;270;00.[270];00.[270];RESTAURANT EN BAR;horecaplek;;;;C;415;122;3;0;366;49;122;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00060;20 - Aula;20 - Aula;20 - Aula;AULA;AULA;begane grond;400;00.[400];00.[400];A LA CARTE RESTAURANT ;horecaplek;;;;C;32;8;4;0;32;1;8;1;rumoerig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00061;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;begane grond;060/120;0.06/0.12;0.06/0.12;RODE ZAAL;concentratiewerkplek;;;;A;38;1;38;38;0;0;38;1;stil;nee;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00062;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;1e verdieping;10;1.01;1.01;GROTE HAL - tafels rechts van entrée;aanlandplek;;;;B;37;10;4;0;37;0;10;1;rustig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00063;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;10;1.01;1.01;GROTE HAL - tafels achter treinbanken;aanlandplek;;;;B;24;6;4;24;0;0;12;1;rustig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00064;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;10;1.01;1.01;GROTE HAL - rode banken / losse stoelen;aanlandstudieplek / groepswerkplek;;;;B;64;12;2;0;12;48;24;1;rustig;nee;nee;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00065;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;10;1.01;1.01;GROTE HAL - grijze stoelen, zitplekken;informeel zitje;;;;C;19;8;3;0;0;19;13;1;rustig;nee;ja;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00066;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;10;1.01;1.01;GROTE HAL - leestafel rechts;aanlandplek;;;;B;10;1;10;0;10;0;4;1;rustig;nee;nee;nee;nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00067;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;10;1.01;1.01;GROTE HAL - driehoektafels;aanlandstudieplek / groepswerkplek;;;;B;74;27;3;0;74;0;27;1;rustig;nee;nee;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00068;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;10;1.01;1.01;GROTE HAL - PC-plekken centrale hal;concentratiewerkplek;;;;A;24;2;12;24;0;0;24;1;rustig;nee;nee;ja (>/= 1 pp);ja;ja;nee;nee;nee;0-25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00069;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;1e verdieping;10;1.01;1.01;GROTE HAL - lange tafels links;aanlandplek;;;;B;24;2;12;24;0;0;24;1;rustig;nee;nee;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00070;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;1e verdieping;10;1.01;1.01;GROTE HAL - rechter achterhoek;informeel zitje;;;;C;4;1;4;4;0;2;2;1;rustig;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00071;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;50;1.05;1.05;BLAUWE ZAAL;concentratiewerkplek;;;;A;32;16;2;30;2;0;16;2;stil;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00072;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;60;1.06;1.06;HUISKAMER;horecaplek;;;;C;29;10;4;0;5;28;8;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00073;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;90;1.09;1.09;GLAZEN ZAAL;concentratiewerkplek;;;;A;112;7;16;112;0;0;112;1;stil;nee;ja;ja (>/= 1 pp);ja;ja;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00074;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;90;1.09;1.09;GLAZEN ZAAL - raamkant;concentratiewerkplek;;;;A;28;1;28;28;0;0;28;1;stil;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00075;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;120;1.12;1.12;ORANJE ZAAL;concentratiewerkplek;;;;A;53;16;3;0;53;0;26;2;stil;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00076;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;700;1.70;1.70;GROEPSRUIMTE- Edison;groepswerkplek;;;;B;4;1;4;4;0;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00077;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;720;1.72;1.72;GROEPSRUIMTE - Curie;groepswerkplek;;;;B;4;1;4;4;0;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;ja;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00078;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;740;1.74;1.74;GROEPSRUIMTE - Einstein;groepswerkplek;;;;B;8;4;4;0;8;6;4;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;nee;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00079;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;780;1.78;1.78;GROEPSRUIMTE - Jobs;groepswerkplek;;;;B;8;3;4;0;8;1;5;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;ja;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00080;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;820;1.82;1.82;GROEPSRUIMTE - Stein;groepswerkplek;;;;B;8;1;8;8;0;0;4;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;ja;nee;ja;>25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00081;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;860;1.86;1.86;GROEPSRUIMTE - Kenndy;groepswerkplek;;;;B;6;1;6;6;0;0;2;1;rustig;ja;ja;ja (>/= 1 pp);ja;nee;ja;nee;nee;>25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00082;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;930;1.93;1.93;GROEPSRUIMTE - South America;groepswerkplek;;;;B;8;1;8;8;0;2;4;1;rustig;ja;nee;ja (>/= 1 pp);ja;nee;ja;nee;ja;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00083;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;950;1.95;1.95;GROEPSRUIMTE - Australie;groepswerkplek;;;;B;8;1;8;8;0;2;4;1;rustig;ja;nee;ja (>/= 1 pp);ja;nee;ja;nee;ja;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00084;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;960;1.96;1.96;COFFEE STAR;horecaplek;;;;C;36;16;2;36;16;9;16;1;rumoerig;nee;nee;ja (<1 pp);nee;nee;nee;nee;nee;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00085;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;1e verdieping;970;1.97;1.97;GROEPSRUIMTE - Europe;groepswerkplek;;;;B;8;1;8;8;0;2;4;1;rustig;ja;nee;ja (>/= 1 pp);ja;nee;ja;nee;ja;0-25m;0-25m;0-25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00086;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;2e verdieping;220;2.20;2.20;STUDIERUIMTE;aanlandplek;;;;B;51;17;3;0;51;0;35;1;stil;nee;ja;ja (<1 pp);nee;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00087;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;2e verdieping;860;2.86;2.86;GROEPSRUIMTE - Bio;groepswerkplek;;;;B;6;1;6;6;0;0;4;1;rustig;ja;ja;ja (>/= 1 pp);nee;nee;nee;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00088;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;2e verdieping;840;2.84;2.84;GROEPSRUIMTE - Wind;groepswerkplek;;;;B;6;1;6;6;0;0;4;1;rustig;ja;ja;ja (>/= 1 pp);nee;nee;nee;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00089;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;2e verdieping;820;2.82;2.82;GROEPSRUIMTE - Water;groepswerkplek;;;;B;6;1;6;6;0;0;4;1;rustig;ja;ja;ja (>/= 1 pp);nee;nee;nee;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00090;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;2e verdieping;800;2.80;2.80;GROEPSRUIMTE - Sun;groepswerkplek;;;;B;6;1;6;6;0;0;4;1;rustig;ja;ja;ja (>/= 1 pp);nee;nee;ja;nee;ja;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00091;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;2e verdieping;780;2.78;2.78;STUDIERUIMTE;concentratiewerkplek;;;;A;6;1;6;6;0;0;4;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00092;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;2e verdieping;760;2.76;2.76;STUDIERUIMTE;concentratiewerkplek;;;;A;6;1;6;6;0;0;4;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;ja;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00093;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;2e verdieping;740;2.74;2.74;STUDIERUIMTE;concentratiewerkplek;;;;A;6;1;6;6;0;0;4;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00094;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;2e verdieping;720;2.72;2.72;STUDIERUIMTE;concentratiewerkplek;;;;A;6;1;6;6;0;0;4;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00095;21 - Library;21 - Library ;21 - Library;LIBRARY;LIBRARY;2e verdieping;700;2.70;2.70;STUDIERUIMTE;concentratiewerkplek;;;;A;6;1;6;6;0;0;4;1;rustig;nee;ja;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;0-25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SSP00096;21 - Library ;21 - Library ;21 - Library ;LIBRARY;LIBRARY;3e verdieping;010;3.01;3.01;STUDIERUIMTE - kegel - tafels;aanlandplek;;;;B;56;8;7;0;56;0;24;1;rustig;nee;nee;ja (>/= 1 pp);nee;nee;nee;nee;nee;>25m;>25m;>25m;nee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
